"","Codigo_IBGE","Sigla_Estado","cidade","longitude","latitude","Data","Total_Exames","Total_positivos","Indice_Positividade"
"1025","4302808","RS","Caçapava do Sul",-53.4827,-30.5144,2020-03-11,17,2,11.7647058823529
"1026","4303509","RS","Camaquã",-51.8043,-30.8489,2020-03-11,3,0,0
"1027","4304408","RS","Canela",-50.8119,-29.356,2020-03-11,4,0,0
"1028","4304507","RS","Canguçu",-52.6783,-31.396,2020-03-11,22,2,9.09090909090909
"1029","4305108","RS","Caxias do Sul",-51.1792,-29.1629,2020-03-11,455,55,12.0879120879121
"1030","4306007","RS","Crissiumal",-54.0994,-27.4999,2020-03-11,2,0,0
"1031","4306106","RS","Cruz Alta",-53.6048,-28.645,2020-03-11,8,2,25
"1032","4306452","RS","Dois Lajeados",-51.8396,-28.983,2020-03-11,5,2,40
"1033","4306809","RS","Encantado",-51.8703,-29.2351,2020-03-11,8,4,50
"1034","4306932","RS","Entre-Ijuís",-54.2686,-28.3686,2020-03-11,1,0,0
"1035","4307005","RS","Erechim",-52.2697,-27.6364,2020-03-11,485,101,20.8247422680412
"1036","4307203","RS","Erval Grande",-52.574,-27.3926,2020-03-11,14,5,35.7142857142857
"1037","4307500","RS","Espumoso",-52.8461,-28.7286,2020-03-11,12,6,50
"1038","4307807","RS","Estrela",-51.9495,-29.5002,2020-03-11,3,0,0
"1039","4308201","RS","Flores da Cunha",-51.1875,-29.0261,2020-03-11,15,4,26.6666666666667
"1040","4308904","RS","Getúlio Vargas",-52.2294,-27.8911,2020-03-11,2,0,0
"1041","4309308","RS","Guaíba",-51.3233,-30.1086,2020-03-11,11,0,0
"1042","4309407","RS","Guaporé",-51.8895,-28.8399,2020-03-11,17,8,47.0588235294118
"1043","4309506","RS","Guarani das Missões",-54.5629,-28.1491,2020-03-11,4,0,0
"1044","4309605","RS","Horizontina",-54.3053,-27.6282,2020-03-11,1,0,0
"1045","4310108","RS","Igrejinha",-50.7919,-29.5693,2020-03-11,14,0,0
"1046","4310207","RS","Ijuí",-53.92,-28.388,2020-03-11,11,3,27.2727272727273
"1047","4311007","RS","Jaguarão",-53.377,-32.5604,2020-03-11,2,0,0
